"year";"SATELLITE";"n"
1985;"LANDSAT_5";2
1986;"LANDSAT_5";5
1987;"LANDSAT_5";3
1988;"LANDSAT_5";6
1989;"LANDSAT_5";4
1990;"LANDSAT_5";3
1991;"LANDSAT_5";6
1992;"LANDSAT_5";6
1993;"LANDSAT_5";4
1994;"LANDSAT_5";4
1995;"LANDSAT_5";3
1996;"LANDSAT_5";6
1997;"LANDSAT_5";3
1998;"LANDSAT_5";6
1999;"LANDSAT_5";4
1999;"LANDSAT_7";6
2000;"LANDSAT_5";7
2000;"LANDSAT_7";4
2001;"LANDSAT_5";5
2001;"LANDSAT_7";4
2002;"LANDSAT_7";6
2003;"LANDSAT_5";4
2003;"LANDSAT_7";5
2004;"LANDSAT_5";7
2004;"LANDSAT_7";7
2005;"LANDSAT_5";8
2005;"LANDSAT_7";8
2006;"LANDSAT_5";6
2006;"LANDSAT_7";8
2007;"LANDSAT_5";10
2007;"LANDSAT_7";9
2008;"LANDSAT_5";8
2008;"LANDSAT_7";10
2009;"LANDSAT_5";7
2009;"LANDSAT_7";4
2010;"LANDSAT_5";6
2010;"LANDSAT_7";11
2011;"LANDSAT_5";5
2011;"LANDSAT_7";7
2012;"LANDSAT_7";6
2013;"LANDSAT_7";4
2013;"LANDSAT_8";6
2014;"LANDSAT_7";11
2014;"LANDSAT_8";5
2015;"LANDSAT_7";5
2015;"LANDSAT_8";9
2016;"LANDSAT_7";11
2016;"LANDSAT_8";9
2017;"LANDSAT_7";11
2017;"LANDSAT_8";7
2018;"LANDSAT_7";10
2018;"LANDSAT_8";7
2019;"LANDSAT_7";6
2019;"LANDSAT_8";8
2020;"LANDSAT_7";9
2020;"LANDSAT_8";8
